Starttime,Endtime,Total Attendance,Opponent
2005-04-12 13:10:00,2005-04-12 16:23:00,55892,San Francisco
2005-04-13 19:10:00,2005-04-13 21:48:00,46514,San Francisco
2005-04-15 19:40:00,2005-04-15 21:48:00,51816,San Diego
2005-04-16 19:10:00,2005-04-16 21:52:00,54704,San Diego
2005-04-17 13:10:00,2005-04-17 15:31:00,53402,San Diego
2005-04-25 19:10:00,2005-04-25 21:33:00,36876,Arizona
2005-04-26 19:10:00,2005-04-26 22:00:00,44486,Arizona
2005-04-27 19:10:00,2005-04-27 22:17:00,54387,Arizona
2005-04-29 19:40:00,2005-04-29 22:01:00,40150,Colorado
2005-04-30 19:10:00,2005-04-30 21:45:00,54123,Colorado
2005-05-01 13:10:00,2005-05-01 15:53:00,46243,Colorado
2005-05-02 19:10:00,2005-05-02 21:53:00,34079,Washington
2005-05-03 19:10:00,2005-05-03 22:13:00,41190,Washington
2005-05-04 19:10:00,2005-05-04 22:08:00,33081,Washington
2005-05-13 19:40:00,2005-05-13 22:17:00,53689,Atlanta
2005-05-14 19:10:00,2005-05-14 21:31:00,49112,Atlanta
2005-05-15 12:10:00,2005-05-15 14:53:00,53239,Atlanta
2005-05-16 19:10:00,2005-05-16 22:03:00,46632,Florida
2005-05-17 19:10:00,2005-05-17 21:52:00,37481,Florida
2005-05-18 12:10:00,2005-05-18 15:12:00,34441,Florida
2005-05-20 19:40:00,2005-05-20 22:35:00,54543,LA Angels
2005-05-21 13:10:00,2005-05-21 16:07:00,53631,LA Angels
2005-05-22 13:10:00,2005-05-22 15:34:00,53839,LA Angels
2005-05-30 20:10:00,2005-05-30 22:49:00,44255,Chicago Cubs
2005-05-31 19:10:00,2005-05-31 22:21:00,37221,Chicago Cubs
2005-06-01 19:10:00,2005-06-01 22:34:00,54093,Chicago Cubs
2005-06-02 19:10:00,2005-06-02 22:05:00,32004,Milwaukee
2005-06-03 19:40:00,2005-06-03 22:57:00,41528,Milwaukee
2005-06-04 19:10:00,2005-06-04 22:03:00,46287,Milwaukee
2005-06-05 13:10:00,2005-06-05 16:29:00,40876,Milwaukee
2005-06-06 19:10:00,2005-06-06 21:19:00,33518,Detroit
2005-06-07 19:10:00,2005-06-07 22:00:00,32314,Detroit
2005-06-08 19:10:00,2005-06-08 21:34:00,34690,Detroit
2005-06-10 19:10:00,2005-06-10 21:58:00,46713,Minnesota
2005-06-11 19:10:00,2005-06-11 21:33:00,53354,Minnesota
2005-06-12 13:10:00,2005-06-12 15:46:00,54368,Minnesota
2005-06-27 19:10:00,2005-06-27 21:41:00,47588,San Diego
2005-06-28 19:10:00,2005-06-28 22:18:00,47695,San Diego
2005-06-29 12:10:00,2005-06-29 14:43:00,43569,San Diego
2005-07-01 19:40:00,2005-07-01 22:25:00,48306,Arizona
2005-07-02 13:10:00,2005-07-02 16:39:00,44457,Arizona
2005-07-03 19:10:00,2005-07-03 22:06:00,55868,Arizona
2005-07-14 19:10:00,2005-07-14 22:14:00,46234,San Francisco
2005-07-15 19:40:00,2005-07-15 22:08:00,51057,San Francisco
2005-07-16 13:10:00,2005-07-16 16:11:00,48490,San Francisco
2005-07-17 13:10:00,2005-07-17 16:06:00,47719,San Francisco
2005-07-25 19:10:00,2005-07-25 21:29:00,42668,Cincinnati
2005-07-26 19:10:00,2005-07-26 22:08:00,42826,Cincinnati
2005-07-27 19:10:00,2005-07-27 22:04:00,47033,Cincinnati
2005-07-28 12:10:00,2005-07-28 14:39:00,47877,Cincinnati
2005-07-29 19:40:00,2005-07-29 22:32:00,53783,St. Louis
2005-07-30 13:10:00,2005-07-30 16:10:00,47805,St. Louis
2005-07-31 13:10:00,2005-07-31 17:14:00,44543,St. Louis
2005-08-09 19:10:00,2005-08-09 22:40:00,44556,Philadelphia
2005-08-10 19:10:00,2005-08-10 21:51:00,44001,Philadelphia
2005-08-11 19:10:00,2005-08-11 21:52:00,44963,Philadelphia
2005-08-12 19:40:00,2005-08-12 23:18:00,54361,NY Mets
2005-08-13 13:10:00,2005-08-13 15:54:00,47096,NY Mets
2005-08-14 13:10:00,2005-08-14 15:19:00,48055,NY Mets
2005-08-23 19:10:00,2005-08-23 21:49:00,44416,Colorado
2005-08-24 19:10:00,2005-08-24 22:04:00,40196,Colorado
2005-08-25 19:10:00,2005-08-25 22:29:00,40019,Colorado
2005-08-26 19:40:00,2005-08-26 22:08:00,41638,Houston
2005-08-27 19:10:00,2005-08-27 21:42:00,51738,Houston
2005-08-28 13:10:00,2005-08-28 15:35:00,47541,Houston
2005-09-05 17:10:00,2005-09-05 20:12:00,34871,San Francisco
2005-09-06 19:10:00,2005-09-06 22:16:00,34575,San Francisco
2005-09-07 19:10:00,2005-09-07 22:36:00,36088,San Francisco
2005-09-09 19:40:00,2005-09-09 22:57:00,39948,San Diego
2005-09-10 13:10:00,2005-09-10 15:33:00,43836,San Diego
2005-09-11 13:10:00,2005-09-11 16:16:00,35150,San Diego
2005-09-12 19:10:00,2005-09-12 21:43:00,33255,Colorado
2005-09-13 19:10:00,2005-09-13 22:14:00,30535,Colorado
2005-09-14 19:10:00,2005-09-14 22:17:00,30329,Colorado
2005-09-23 19:40:00,2005-09-23 22:27:00,40170,Pittsburgh
2005-09-24 19:10:00,2005-09-24 22:15:00,45730,Pittsburgh
2005-09-25 13:10:00,2005-09-25 16:06:00,37846,Pittsburgh
2005-09-26 19:10:00,2005-09-26 22:27:00,36397,Pittsburgh
2005-09-27 19:10:00,2005-09-27 21:33:00,42604,Arizona
2005-09-28 19:10:00,2005-09-28 21:58:00,46424,Arizona
2005-09-29 19:10:00,2005-09-29 22:24:00,45053,Arizona
